S.No,Roll No,Category,PWBD,Gender,Percentage,Rank
9767,4761795,OBC,PWBD,Male,60.625,1428
9828,4762239,OBC,Male,61.250,1204,
9851,4762367,SC,Male,63.958,554,
9878,4762503,OBC,Male,62.917,724,
9894,4762638,OBC,Male,61.667,1057,
9922,4762835,EWS,Male,61.250,1200,
9944,4762964,OBC,Male,60.417,1466,
9987,4763167,OBC,Male,60.833,1329,
9989,4763177,OBC,Male,66.667,215,
10016,4763306,EWS,Male,62.917,757,
10083,4763766,OBC,Male,61.042,1224,
10096,4763893,OBC,Male,67.292,167,
10256,4764962,OBC,Male,60.625,1405,
10310,4765278,OBC,Male,65.208,364,
10335,4765440,OBC,Male,60.625,1431,
10376,4765740,EWS,Male,60.833,1351,
10387,4765811,OBC,Male,67.917,131,
10552,4766968,OBC,Male,67.500,146,
10632,4767431,OBC,Male,69.375,63,
10652,4767562,OBC,Male,63.958,556,
10694,4767839,EWS,Male,62.292,900,
10695,4767851,OBC,Male,67.083,189,
10736,4768120,OBC,Male,60.625,1449,
10739,4768132,ST,Male,68.542,103,
10758,4768244,OBC,Male,61.875,977,
10794,4768519,OBC,Male,61.875,987,
10833,4768786,OBC,Male,63.958,521,
10958,4769614,ST,Male,61.667,1080,
11037,4770176,OBC,Male,61.875,984,
11085,4770494,OBC,Male,60.417,1504,
11147,4770904,SC,Male,64.792,411,
11186,4771120,OBC,Male,63.125,688,
11266,4771695,OBC,Male,61.667,1064,
11349,4772209,OBC,Male,60.833,1307,
11563,4773489,OBC,Male,61.250,1176,
11661,4774079,OBC,Male,63.542,626,
11787,4774875,SC,Male,64.167,490,
11854,4775338,OBC,Male,62.292,888,
11938,4775884,OBC,Male,64.792,410,
11979,4776174,OBC,Male,60.625,1444,
11989,4776209,EWS,Male,60.417,1460,
12010,4776373,OBC,Male,68.542,95,
12091,4776887,OBC,Male,60.417,1476,
12157,4777255,OBC,Male,61.458,1134,
12232,4777721,OBC,Male,62.500,835,
12255,4777875,OBC,Male,62.083,922,
12282,4778134,SC,Male,63.958,524,
12336,4778461,OBC,Male,60.417,1499,
12821,4781504,OBC,Male,62.083,949,
12907,4781961,OBC,Male,62.292,874,
12926,4782067,SC,Male,61.250,1177,
12955,4782302,OBC,Male,61.250,1185,
13127,4783481,SC,Male,69.792,48,
13200,4783893,SC,Male,70.208,35,
13247,4784195,OBC,Male,62.500,818,
13421,4785228,OBC,Male,61.042,1254,
13426,4785245,OBC,Male,62.292,896,
13535,4785905,EWS,Male,68.542,100,
13553,4785991,SC,Male,63.958,536,
13598,4786330,SC,Male,66.875,207,
13638,4786662,OBC,Male,61.458,1115,
13685,4786955,OBC,Male,64.583,434,
13702,4787085,OBC,Male,64.792,413,
13812,4787794,OBC,Male,62.708,776,
13832,4787941,OBC,Male,62.500,831,
13873,4788202,EWS,Male,63.542,622,
13908,4788398,OBC,Male,60.625,1392,
13937,4788566,OBC,Male,61.042,1221,
13981,4788816,EWS,Male,61.458,1103,
